sentiment, tweet ,,,,,
2, RT @ScottAdamsSays: Malaria drug and zinc the missing link https://t.co/FC9CpuH0Yr via @theconwom,,,,,
1, RT @YoungDems4Trump: In Democrat cities you can get arrested for opening a business but not for looting one. #MinneapolisRiot #Coronavirus,,,,,
2, RT @YoungDems4Trump: So sad. This poor business owner lost everything due to the  #MinneapolisRiothttps://t.co/mK0nHFNthS,,,,,
2, Time for a change! #2020 https://t.co/AECy2GBfys,,,,,
1, RT @TallahForTrump: Trump spoke at my church in Detroit and it opened my eyes. Never again will I be a slave to the Democrats!👊 Let us rise…,,,,,
0, RT @TheRightMelissa: In an ironic twist of fate CNN HQ is being attacked by the very riots they promoted as noble &amp; just. Oops,,,,,
0, RT @Jim_Jordan: Right on! We don’t have to pay organizations to lie to us. They’ll probably do it for free.,,,,,
2, RT @Scavino45: “Texas AG Ken Paxton: Trump is right and Twitter ‘fact check’ is wrong – mail-in ballot fraud is a real problem” https://t.c…,,,,,
2, RT @Jim_Jordan: Twitter “fact checks” President Trump. Did they ever fact check Comey or Schiff?Did they ever fact check Clapper (CNN)?…,,,,,
2," RT @WhiteHouse: ""I want to express our Nation's deepest condolences and most heartfelt sympathies to the family of George Floyd."" https://t…",,,,,
1, https://t.co/mljmx2o0G7,,,,,
1, Looting leads to shooting and that’s why a man was shot and killed in Minneapolis on Wednesday night - or look at what just happened in Louisville with 7 people shot. I don’t want this to happen and that’s what the expression put out last night means....,,,,,
2, ....It was spoken as a fact not as a statement. It’s very simple nobody should have any problem with this other than the haters and those looking to cause trouble on social media. Honor the memory of George Floyd!,,,,,
1, REVOKE 230!,,,,,
0, The National Guard has arrived on the scene. They are in Minneapolis and fully prepared. George Floyd will not have died in vain. Respect his memory!!!,,,,,
2, The National Guard has been activated In Minneapolis. They have arrived on the seen. George Floyd will not have died in vain. Respect his memory!!!,,,,,
0, RT @LaraLeaTrump: Looting is not protesting. Burning down local homes and businesses is not protesting. How sad that the memory of #GeorgeF…,,,,,
1, CHINA!,,,,,
2, “Regulate Twitter if they are going to start regulating free speech.” @JudgeJeanine @foxandfriends  Well as they have just proven conclusively that’s what they are doing. Repeal Section 230!!!,,,,,
2, “The President has been targeted by Twitter.” @MariaBartiromo  What about all of the lies and fraudulent statements made by Adam Schiff and so many others on the Russian Witch Hunt Plus Plus Plus? What about China’s propaganda? WHO’s mistakes? No flags?  @foxandfriends,,,,,
2, Twitter is doing nothing about all of the lies &amp; propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans Conservatives &amp; the President of the United States. Section 230 should be revoked by Congress. Until then it will be regulated!,,,,,
0, I can’t stand back &amp; watch this happen to a great American City Minneapolis. A total lack of leadership. Either the very weak Radical Left Mayor Jacob Frey get his act together and bring the City under control or I will send in the National Guard &amp; get the job done right.....,,,,,
2, ....These THUGS are dishonoring the memory of George Floyd and I won’t let that happen. Just spoke to Governor Tim Walz and told him that the Military is with him all the way. Any difficulty and we will assume control but when the looting starts the shooting starts. Thank you!,,,,,
2, MAIL-IN VOTING WILL LEAD TO MASSIVE FRAUD AND ABUSE. IT WILL ALSO LEAD TO THE END OF OUR GREAT REPUBLICAN PARTY. WE CAN NEVER LET THIS TRAGEDY BEFALL OUR NATION. BIG MAIL-IN VICTORY IN TEXAS COURT TODAY. CONGRATS!!!,,,,,
2, .@Facebook CEO Mark Zuckerberg is today criticizing Twitter. “We have a different policy than Twitter on this. I believe strongly that Facebook shouldn’t be the arbiter of truth of everything that people say online.” Did Twitter criticize Obama for his “you can keep your Dr.”?,,,,,
1, https://t.co/ZjzQfVhTwZ,,,,,
1, https://t.co/mFzyzW74uY,,,,,
1, https://t.co/FHDMd4jx78,,,,,
0, I’m proud to commit $40.9M in @USDOT funding to Milwaukee’s East-West Bus Rapid Transit project. Bringing modern transit to the region’s most critical corridor and spur millions in economic development. Love Wisconsin! @RideMCTS,,,,,
2, Ogden Utah I am committing $64.5M to build bus service between Weber State University and McKay-Dee Hospital—very important services for Utahans! @RideUTA,,,,,
1, .@USDOT is committing $99.95M to @PGHtransit in Pennsylvania to connect Pittsburghers to their two largest commercial employment centers through safe quick transit service. Great things coming to a great State!,,,,,
0, MAX Red line in Oregon is set to receive $99.99M in @USDOT funds to reduce delays in the Portland area connect citizens to very important locations and make transit GREAT! @trimet,,,,,
0, I am proud to commit $60.9M in @USDOT funding to provide a BRAND NEW bus system for a very busy and popular transit corridor in the Albany NY area—more help coming to the people of New York! @CDTA,,,,,
0, Indiana is set to receive $100M in @USDOT transit funds for the @southshoreline to connect people to jobs around the State and the Chicago-area and help cut down on traffic. @GovHolcomb has worked very hard on this project!,,,,,
0, Big announcement for the State of Indiana! $77.5M committed in @USDOT funds for a “game-changing” transit project to provide fast and frequent service to the people of Indianapolis and Lawrence.,,,,,
1, I’m excited to commit $100M to @MiamiDadeCounty FL in @USDOT funding to connect fast-growing communities through state-of-the-art transit service! Fast safe and beautiful infrastructure!,,,,,
2, .@USDOT is committing $21.8M for the FIRST transit project of this kind in the Tampa Bay region. It will connect St. Petersburg to popular beaches through state-of-the-art transit buses with FREE WiFi. Will be a major help to heavily populated parts of the Great State of Florida!,,,,,
